game_id,game_date,team,min,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf,ncat_score,opp_score,home_away,win,opponent,is_ncat,team_score,opp_score_,opp_team,opp_min,opp_fgm,opp_fga,opp_fg2m,opp_fg2a,opp_fg3m,opp_fg3a,opp_ftm,opp_fta,opp_pts,opp_reb,opp_ast,opp_to,opp_stl,opp_blk,opp_oreb,opp_dreb,opp_pf,poss,opp_poss,pace,ortg,drtg,efg_pct,ts_pct
401720617,2025-01-25,North Carolina A&T Aggies,200.0,19,62,13,40,6,22,5,7,49,30,8,15,3,5,11,19,12,49,54,away,0,Monmouth Hawks,1,49,54,Monmouth Hawks,200.0,21,49,19,35,2,14,10,12,54,33,10,17,2,5,6,27,17,69.08,65.28,67.18,72.93837451622505,80.38106579339089,0.3548387096774194,0.37645974185617703
401724171,2025-01-26,North Carolina A&T Aggies,200.0,26,61,25,49,1,12,10,13,63,42,10,14,14,1,15,27,13,63,44,away,1,Hofstra Pride,1,63,44,Hofstra Pride,200.0,16,53,9,29,7,24,5,7,44,26,8,21,5,2,8,18,16,65.72,69.08,67.4,93.47181008902076,65.28189910979228,0.4344262295081967,0.4721223021582734
401724158,2025-02-01,North Carolina A&T Aggies,200.0,26,61,20,43,6,18,16,23,74,49,18,17,6,4,19,30,16,74,51,home,1,Hampton Lady Pirates,1,74,51,Hampton Lady Pirates,200.0,18,56,10,27,8,29,7,17,51,25,10,14,10,2,10,15,19,69.12,67.48,68.30000000000001,108.34553440702781,74.67057101024889,0.47540983606557374,0.5202474690663667
401724127,2025-02-08,North Carolina A&T Aggies,200.0,28,49,23,39,5,10,10,16,71,36,20,22,5,6,9,27,11,71,59,home,1,Charleston Cougars,1,71,59,Charleston Cougars,200.0,20,64,13,40,7,24,12,17,59,22,16,11,13,0,11,11,19,69.04,71.48,70.26,101.05323085681752,83.97381155707372,0.6224489795918368,0.6334760885082085
401724108,2025-02-09,North Carolina A&T Aggies,200.0,19,59,13,39,6,20,8,12,52,30,11,16,5,4,9,21,12,52,56,home,0,Campbell Fighting Camels,1,52,56,Campbell Fighting Camels,200.0,21,52,17,38,4,14,10,16,56,34,14,14,8,4,7,27,11,71.28,66.04,68.66,75.73550830177687,81.56131663268279,0.3728813559322034,0.4044803982576229
401724178,2025-02-15,North Carolina A&T Aggies,200.0,31,58,26,43,5,15,6,11,73,33,19,9,7,4,10,23,12,73,55,away,1,Northeastern Huskies,1,73,55,Northeastern Huskies,200.0,19,52,8,25,11,27,6,7,55,24,13,16,4,1,5,19,13,61.84,66.08,63.96,114.13383364602876,85.99124452782989,0.5775862068965517,0.5808402291534055
401720602,2025-02-22,North Carolina A&T Aggies,200.0,24,51,21,37,3,14,16,21,67,36,15,14,9,1,8,28,14,67,44,away,1,William & Mary Tribe,1,67,44,William & Mary Tribe,200.0,15,61,10,36,5,25,9,11,44,34,7,17,7,2,15,19,23,66.24,67.84,67.03999999999999,99.94033412887829,65.63245823389022,0.5,0.5561088977423638
401724141,2025-02-23,North Carolina A&T Aggies,200.0,27,54,19,37,8,17,9,16,71,34,20,18,9,5,6,28,10,71,55,home,1,Delaware Blue Hens,1,71,55,Delaware Blue Hens,200.0,21,58,15,34,6,24,7,10,55,28,16,19,10,0,7,21,16,73.04,74.4,73.72,96.31036353771026,74.60661964188823,0.5740740740740741,0.5815858453473133
401724179,2025-03-01,North Carolina A&T Aggies,200.0,27,71,21,55,6,16,7,9,67,33,13,7,14,2,10,23,11,67,64,away,1,UNC Wilmington Seahawks,1,67,64,UNC Wilmington Seahawks,200.0,26,53,19,33,7,20,5,6,64,32,8,15,6,9,2,30,9,71.96,68.64,70.3,95.30583214793742,91.03840682788051,0.4225352112676056,0.44690501600853794
401720642,2025-03-02,North Carolina A&T Aggies,200.0,26,46,23,37,3,9,14,15,69,24,15,17,5,0,5,19,18,69,70,away,0,Elon Phoenix,1,69,70,Elon Phoenix,200.0,22,53,15,34,7,19,19,20,70,21,13,11,7,6,8,13,14,64.6,64.8,64.69999999999999,106.64605873261208,108.1916537867079,0.5978260869565217,0.655893536121673
401720595,2025-03-07,North Carolina A&T Aggies,200.0,22,51,12,31,10,20,23,28,77,26,19,10,9,7,7,19,19,77,52,home,1,William & Mary Tribe,1,77,52,William & Mary Tribe,200.0,19,53,17,39,2,14,12,20,52,36,10,21,4,2,13,23,23,66.32,69.8,68.06,113.13546870408462,76.40317367029091,0.5294117647058824,0.6080227416298168
401724176,2025-03-08,North Carolina A&T Aggies,200.0,22,59,17,40,5,19,16,18,65,41,15,12,10,2,13,28,16,65,54,home,1,UNC Wilmington Seahawks,1,65,54,UNC Wilmington Seahawks,200.0,17,50,10,31,7,19,13,21,54,28,10,15,6,0,6,22,15,65.92,68.24,67.08,96.89922480620156,80.50089445438283,0.4152542372881356,0.48565451285116557
